word,gender,idf,meanfreq,has_a,has_e,has_i,has_o,has_u,has_y
"apium1","n","2.33469539096124","3.033333333333333",1,0,1,0,1,0
"apparatus2","m","1.19719186721131","5.636363636363637",1,0,0,0,1,0
"aqua1","f","0.367116868653618","28.335227272727273",1,0,0,0,1,0
"aquila1","f","1.80418067426246","4.384615384615385",1,0,1,0,1,0
"aquilo1","m","1.94390543792907","4.059322033898305",1,0,1,1,1,0
"ara1","f","0.636723928410898","5.928082191780822",1,0,0,0,0,0
"aranea1","f","3.36711686865362","1.1969696969696964",1,1,0,0,0,0
"aratrum1","n","1.849268563791","3.3015873015873014",1,0,0,0,1,0
"arbiter1","m","0.968567492163343","2.202586206896552",1,1,1,0,0,0
"arbor1","f","0.793125485753465","13.755725190839694",1,0,0,1,0,0
"arbustum1","n","2.46899648267283","1.7073170731707317",1,0,0,0,1,0
"arca1","f","1.21183864317571","1.649659863945579",1,0,0,0,0,0
"Arcas1","m","2.69726547034595","2.961904761904762",1,0,0,0,0,0
"Arctos1","f","3.07166098512745","1.0802469135802464",0,0,0,1,0,0
"arcturus1","m","4.24158598656976","2.9583333333333335",1,0,0,0,1,0
"arcus1","m","1.43423106451215","4.595238095238095",1,0,0,0,1,0
"arduum1","n","1.24158598656976","2.0364583333333335",1,0,0,0,1,0
"Argi1","m","1.82654848729092","5.65625",0,0,1,0,0,0
"argumentum1","n","0.804180674262461","8.015384615384615",1,1,0,0,1,0
"argutatio1","f","7.82654848729092","1",1,0,1,1,1,0
"arista1","f","3.07166098512745","2.8518518518518516",1,0,1,0,0,0
"arma1","n","0.358942937207918","19.327683615819208",1,0,0,0,0,0
"armatus1","m","0.826548487290915","4.588541666666664",1,0,0,0,1,0
"armentum1","n","1.9196578916824","4.233333333333333",1,1,0,0,1,0
"armus1","m","0.48669848440629","10.203703703703704",1,0,0,0,1,0
"ars1","f","0.249119659255166","9.860383944153572",1,0,0,0,0,0
"artifex1","m","0.993658473126173","3.5789473684210527",1,1,1,0,0,0
"artus2","m","0.607379966828753","3.4854586129753904",1,0,0,0,1,0
"arvum1","n","1.6566234858486","4.305555555555555",1,0,0,0,1,0
"arx1","f","0.48669848440629","8.099794238683126",1,0,0,0,0,0
"asellus1","m","2.87235217690404","3.0483870967741935",1,1,0,0,1,0
"aspectus2","m","1.57862097384733","2.6184210526315788",1,1,0,0,1,0
"asylum1","n","3.18269229751619","1.92",1,0,0,0,1,1
"atavus1","m","3.36711686865362","1.5",1,0,0,0,1,0
"atrium1","n","1.35081505632452","2.955056179775281",1,0,1,0,1,0
"auctor1","f","0.33469539096124","12.166666666666666",1,0,0,1,1,0
"auctoritas1","f","0.760459296833143","17.12686567164179",1,0,1,1,1,0
"audacia1","f","0.87235217690404","5.42741935483871",1,0,1,0,1,0
"augur1","m","1.36711686865362","4.465909090909091",1,0,0,0,1,0
"augurium1","n","1.76045929683314","5.388059701492537",1,0,1,0,1,0
"Augustus2","m","1.35081505632452","7.179775280898877",0,0,0,0,1,0
"aula1","f","1.71802403051275","3.6956521739130435",1,0,0,0,1,0
"aura1","f","0.771266051789726","3.819548872180449",1,0,0,0,1,0
"aureus1","m","0.666677150512526","7.972027972027972",1,1,0,0,1,0
"auricula1","f","3.24158598656976","2.625",1,0,1,0,1,0
"auriga1","f","2.57862097384733","2.789473684210526",1,0,1,0,1,0
"auris1","f","0.189923866747266","13.364321608040202",1,0,1,0,1,0
"aurora1","f","2.40028373258882","3.511627906976744",1,0,0,1,1,0
"aurum1","n","0.154123145319419","15.359313725490194",1,0,0,0,1,0
"auspex1","m","3.12610876914982","1.6923076923076923",1,1,0,0,1,0
"auspicium1","n","1.09862803272772","7.490566037735849",1,0,1,0,1,0
"auster1","m","1.73908564604058","4.985294117647059",1,1,0,0,1,0
"auxilium1","n","0.468996482672831","12.801829268292684",1,0,1,0,1,0
"avaritia1","f","1.08508150088977","5.009345794392523",1,0,1,0,0,0
"avena1","f","3.6566234858486","2.5555555555555554",1,1,0,0,0,0
"avia1","f","1.24158598656976","1.7291666666666663",1,0,1,0,0,0
